CODIGOESTACION,DENOMINACION,OBSERVACIONES,X,Y
233,CASA DEL RELOJ,1227,435595,4464492
253,EL CAPRICHO,EL CAPRICHO Linea 5,449742,4478467
26,VILLA DE VALLECAS,126,447370,4470283
179,VALDEBERNARDO,919,447364,4472553
167,COLOMBIA,802,442713,4478964
132,LAS MUSAS,701,448550,4476201
117,DIEGO DE LEON,410,443032,4476237
171,NUÑEZ DE BALBOA,510,442484,4475928
81,VENTAS,201,443822,4476002
190,PLAZA DE CASTILLA,101,441692,4480016
182,PUERTA DE ARGANDA,922,449536,4472679
158,CAMPO DE LAS NACIONES,805,447868,4479637
99,EUGENIA DE MONTIJO,526,436347,4470900
305,LA FORTUNA,,434062,4467986
323,ALSACIA,,447213,4474579
322,LA ALMUDENA,,445891,4475180
345,PACO DE LUCIA,,440026,4483665
60,VELAZQUEZ,407,442179,4475365
65,PROSPERIDAD,412,442882,4477486
68,ARTURO SORIA,415,444472,4478766
70,CANILLAS,417,446224,4479639
73,PARQUE DE SANTA MARIA,420,445417,4481122
77,CIUDAD LINEAL,504,445986,4476781
90,LA LATINA,517,440025,4473855
98,CARABANCHEL,525,436888,4471277
183,RIVAS URBANIZACIONES,924,453645,4468818
62,LISTA,409,442819,4475819
199,LAGO,"Estación de Ferrocarril
1013",437699,4474444
200,BATAN,1014,436208,4473507
12,SOL,112,440446,4474473
35,SOL,112,440446,4474470
48,SOL,112,440446,4474466
120,NUEVOS MINISTERIOS,Frente al nº 65,441392,4477767
193,NUEVOS MINISTERIOS,618,441392,4477763
185,LA POVEDA,Metro Madrid Arganda. Arganda del Rey (MADRID),459545,4463483
101,EMPALME,528,435153,4471597
226,GETAFE CENTRAL,Frente al nº 3,437737,4462623
10,TRIBUNAL,110,440637,4475505
105,CARPETANA,602,437222,4471816
107,OPAÑEL,604,438733,4471160
113,CONDE DE CASAL,611,443225,4473352
123,METROPOLITANO,621,439101,4477765
129,ALTO DE EXTREMADURA,627,437413,4473726
13,TIRSO DE MOLINA,113,440323,4473971
50,PLAZA DE ESPAÑA,308,439778,4475204
51,VENTURA RODRIGUEZ,309,439594,4475613
276,LAS TABLAS,LAS TABLAS Linea 10,443392,4484602
103,CASA DE CAMPO,Con Paseo de la Venta,435533,4473000
201,CASA DE CAMPO,530,435533,4472996
78,PUEBLO NUEVO,505,445588,4476523
124,CIUDAD UNIVERSITARIA,622,438474,4477451
146,GUZMAN EL BUENO,620,439706,4477748
176,VINATEROS,916,444727,4473704
177,ARTILLEROS,917,445650,4473140
20,NUEVA NUMANCIA,120,443747,4472079
181,SAN CIPRIANO,921,448993,4472960
252,ALAMEDA DE OSUNA,ALAMEDA DE OSUNA Linea 5,450295,4478943
15,ATOCHA,115,441353,4473575
16,ATOCHA RENFE,116,441615,4473322
36,OPERA,1,439924,4474612
57,ALONSO MARTINEZ,404,441076,4475672
3,TETUAN,103,440909,4479318
293,LA GAVIA,LA GAVIA Linea 1,448028,4469234
30,GOYA,203,442773,4475306
31,PRINCIPE DE VERGARA,204,442414,4475131
32,RETIRO,205,441892,4474842
